42,299
46,12
54,266
60,253573
61,468
62,789
63,267
64,682
65,265
66,76770
67,14355
68,849
69,171
70,2557
71,347
72,868
73,2605
74,2856
75,3740
76,1501
77,3414
78,13560
79,792
80,750
81,889
82,3598
83,700
84,536
85,1500
86,1238
87,1723
88,1417
89,5408
90,601
91,17386
92,2078
93,536
94,385
95,1453
96,1022
97,1105
98,584
99,712
100,850
101,607
102,1311
103,3800
104,431
105,1169
106,3428
107,1221
108,238
109,475
110,595
111,615
112,272
113,649
114,734
115,355
116,325
117,1698
118,241
119,302
120,479
121,180
122,337
123,783
124,392
125,1842
126,274
127,283
128,340
129,879
130,413
131,908
132,247
133,223
134,507
135,388
136,137
137,180
138,10308
139,800
140,588
141,195
142,2142
143,278
144,350
145,321
146,267
147,337
148,319
149,115
150,323
151,187
152,962
153,242
154,300
155,2505
156,415
157,140
158,257
159,376
160,440
161,105
162,270
163,310
164,178
165,300
166,269
167,84506
168,304
169,141
170,201
171,1543
172,554
173,102
174,153
175,1100
176,285
177,280
178,135
179,269
180,155
181,131
182,433
183,729
184,373
185,146
186,151
187,676
188,194
189,223
190,150
191,199
192,152
193,112
194,159
195,428
196,96
197,89
198,117
199,519
200,154
201,165
202,205
203,291
204,295
205,155
206,169
207,179
208,135
209,141
210,424
211,201
212,118
213,91
214,2499
215,364
216,636
217,367
218,300
219,1181
220,104
221,141
222,151
223,188
224,121
225,125
226,189
227,132
228,129
229,147
230,176
231,96
232,125
233,113
234,195
235,1065
236,210
237,131
238,94
239,183
240,268
241,151
242,161
243,231
244,160
245,166
246,156
247,741
248,115
249,242
250,165
251,564
252,265
253,135
254,149
255,247
256,108
257,95
258,219
259,137
260,117
261,148
262,176
263,139
264,419
265,25042
266,135
267,555
268,166
269,116
270,71
271,212
272,114
273,167
274,66
275,177
276,164
277,94
278,212
279,180
280,226
281,96
282,83
283,385
284,209
285,218
286,105
287,170
288,148
289,132
290,147
291,244
292,189
293,991
294,85
295,450
296,131
297,203
298,128
299,281
300,86
301,78
302,177
303,99
304,211
305,83
306,53
307,84
308,359
309,96
310,212
311,248
312,138
313,82
314,83
315,204
316,155
317,68
318,66
319,122
320,241
321,130
322,486
323,120
324,225
325,99
326,66
327,65
328,149
329,96
330,89
331,142
332,175
333,163
334,293
335,106
336,99
337,193
338,56
339,135
340,75
341,110
342,285
343,104
344,52
345,76
346,66
347,235
348,460
349,47
350,69
351,120
352,80
353,90
354,81
355,998
356,86
357,77
358,112
359,220
360,105
361,95
362,337
363,181
364,222
365,220
366,173
367,101
368,301
369,209
370,64
371,218
372,56
373,46
374,98
375,144
376,129
377,54
378,68
379,89
380,231
381,62
382,80
383,124
384,256
385,180
386,414
387,132
388,328
389,47
390,450
391,337
392,137
393,53
394,151
395,717
396,197
397,55
398,109
399,71
400,402
401,67
402,113
403,148
404,179
405,147
406,86
407,301
408,234
409,82
410,134
411,187
412,95
413,46
414,128
415,148
416,103
417,84
418,86
419,68
420,492
421,160
422,66
423,208
424,170
425,104
426,180
427,320
428,243
429,91
430,157
431,512
432,116
433,70
434,153
435,85
436,122
437,178
438,107
439,110
440,138
441,233
442,123
443,247
444,311
445,116
446,140
447,182
448,347
449,97
450,133
451,375
452,91
453,185
454,99
455,92
456,100
457,93
458,68
459,197
460,221
461,151
462,162
463,85
464,63
465,52
466,152
467,125
468,100
469,63
470,55
471,267
472,143
473,128
474,145
475,110
476,214
477,72
478,57
479,80
480,60
481,118
482,119
483,78
484,72
485,50
486,52
487,158
488,43
489,55
490,58
491,235
492,102
493,126
494,90
495,75
496,197
497,59
498,49
499,66
500,37
501,52
502,416
503,55
504,42
505,39
506,55
507,269
508,50
509,304
510,39
511,71
512,55
513,42
514,42
515,47
516,45
517,33
518,42
519,130
520,43
521,86
522,72
523,121
524,67
525,58
526,63
527,50
528,79
529,109
530,59
531,68
532,41
533,71
534,70
535,48
536,66
537,47
538,141
539,150
540,67
541,83
542,163
543,73
544,108
545,50
546,55
547,62
548,98
549,62
550,44
551,64
552,52
553,49
554,56
555,75
556,60
557,67
558,48
559,70
560,67
561,69
562,31
563,43
564,61
565,52
566,42
567,49
568,84
569,50
570,98
571,99
572,66
573,48
574,97
575,154
576,82
577,75
578,51
579,89
580,62
581,68
582,72
583,85
584,54
585,74
586,69
587,84
588,35
589,43
590,2991
591,57
592,42
593,38
594,33
595,43
596,43
597,18
598,50
599,139
600,72
601,64
602,53
603,90
604,45
605,40
606,68
607,58
608,290
609,39
610,45
611,48
612,36
613,49
614,31
615,54
616,33
617,42
618,59
619,81
620,35
621,38
622,49
623,52
624,74
625,32
626,47
627,49
628,35
629,46
630,79
631,54
632,57
633,44
634,38
635,52
636,37
637,39
638,23
639,34
640,48
641,45
642,100
643,42
644,63
645,56
646,81
647,59
648,40
649,40
650,55
651,60
652,107
653,34
654,25
655,42
656,41
657,44
658,24
659,35
660,31
661,32
662,42
663,44
664,59
665,38
666,32
667,49
668,31
669,32
670,28
671,27
672,20
673,39
674,35
675,38
676,84
677,38
678,32
679,54
680,103
681,97
682,22
683,81
684,57
685,51
686,20
687,72
688,32
689,25
690,76
691,53
692,25
693,22
694,57
695,62
696,20
697,27
698,44
699,89
700,24
701,34
702,39
703,36
704,28
705,48
706,30
707,35
708,34
709,30
710,33
711,57
712,29
713,31
714,30
715,82
716,35
717,27
718,313
719,44
720,29
721,36
722,35
723,41
724,176
725,45
726,44
727,137
728,39
729,55
730,40
731,70
732,30
733,34
734,27
735,39
736,27
737,31
738,48
739,46
740,29
741,34
742,45
743,45
744,92
745,34
746,624
747,112
748,62
749,30
750,75
751,44
752,45
753,43
754,30
755,55
756,32
757,65
758,23
759,40
760,57
761,58
762,30
763,193
764,106
765,60
766,49
767,31
768,67
769,34
